App_ID,In Development Name,Marketed Name,Region,Category,Expected Revenue Source,Expected Revenue Amount,Current Development Step,Development Start Date,Current Cost
41,Vivid Vervet,,Worldwide,Photo & Video,Subscription - Yearly,162126,Development,2018-06-11,0
42,Wily Werewolf,Sngl Mlt Whsky Ct,USA,Shopping,In-App Ads,150000,Soft Release,2019-11-09,2940
43,Xenial Xerus,,Worldwide,Food & Drink,Subscription - Weekly,75814,Wireframing,2019-10-05,8718
44,Yakkety Yak,Jrmngndr,USA,Photo & Video,Subscription - Weekly,139262,Marketing,2019-01-27,20140
45,Zesty Zapus,Odn,Worldwide,Shopping,Paid App,150443,Marketing,2018-07-10,7110
46,Harmony,,Europe,Photo & Video,Subscription - Monthly,122599,Revenue Brainstorming,2019-07-16,0
47,Tempo,Snt,USA,Shopping,Subscription - Weekly,99588,Bug fixing,2015-09-07,25760
48,Bride of Buster,Irs,Europe,Games,Subscription - Weekly,130627,Bug fixing,2015-02-10,13552
49,Allegro,,Worldwide,Games,Subscription - Monthly,200983,Development,2016-09-18,0
50,Sonata,Vghn,Worldwide,Health & Fitness,Subscription - Yearly,126678,Bug fixing,2018-12-19,0
51,Fortissimo,Wrwlf,China,Games,Paid App,222164,Soft Release,2018-09-28,18048
52,Moonlight,,USA,Food & Drink,Subscription - Daily,10740,Development,2015-06-22,4896
53,Cheetah,,Europe,Business,In-App Ads,121624,Development,2016-06-05,10476
54,Puma,,USA,Social Networking,Subscription - Weekly,141003,Wireframing,2019-06-29,8976
55,Jaguar,Hypns,Worldwide,Photo & Video,In-App Ads,221626,Marketing,2019-10-17,2850
56,Panther,,USA,Social Networking,Subscription - Weekly,137781,App Brainstorming,2018-03-19,0
57,Tiger,,Worldwide,Social Networking,Paid App,172664,Revenue Brainstorming,2017-01-14,3687
58,Leopard,,China,Food & Drink,Subscription - Monthly,148963,Testing,2017-02-15,0
59,Snow Leopard,Wht Rbbt,Worldwide,Games,In-App Ads,222235,Release,2017-01-30,7728
60,Lion,Osrs,China,Social Networking,Paid App,200000,Bug fixing,2015-03-22,8785
61,Mountain Lion,,USA,Health & Fitness,In-App Ads with Paid Ability to Remove Ads,163284,Wireframing,2016-12-01,852
62,Mavericks,,Worldwide,Photo & Video,In-App Ads with Paid Ability to Remove Ads,212079,Revenue Brainstorming,2019-04-27,2796
63,Yosemite,Hr,Worldwide,Food & Drink,Subscription - Weekly,84066,Marketing,2017-11-29,2630
64,El Capitan,,USA,Photo & Video,Subscription - Weekly,111175,Revenue Brainstorming,2017-04-27,455
65,Mingus,,Europe,Food & Drink,Subscription - Daily,-4290,Development,2018-10-28,13824
66,Strayhorn,Snwbll,Europe,Health & Fitness,Subscription - Weekly,79780,Marketing,2015-07-01,6235
67,Duke,,Worldwide,Health & Fitness,Subscription - Monthly,139473,Revenue Brainstorming,2017-04-24,2148
68,Ella,,Worldwide,Social Networking,Subscription - Yearly,138692,App Brainstorming,2017-08-31,0
69,Getz,Tskym,USA,Health & Fitness,Paid App,117732,Marketing,2018-09-11,0
70,Dexter,Oscr,Worldwide,Shopping,In-App Ads,176156,Bug fixing,2018-02-12,4473
71,Brecker,Wht Rbbt,Europe,Business,Subscription - Weekly,72966,Bug fixing,2019-06-14,4536
72,Tyner,,Worldwide,Social Networking,Subscription - Weekly,151343,Development,2017-04-10,0
73,Coltrane,,Worldwide,Shopping,Subscription - Yearly,123715,Development,2019-09-03,5235
74,Baker,,Europe,Social Networking,Paid App,129184,Testing,2017-03-09,4776
75,Carmen,Hypns,China,Social Networking,In-App Ads,224894,Bug fixing,2018-08-24,11970
76,Thelonious,,USA,Business,Paid App,126227,Wireframing,2017-11-10,2164
77,Reinhardt,,Europe,Shopping,Subscription - Monthly,100540,Revenue Brainstorming,2017-09-23,2660
78,Gershwin,,Europe,Photo & Video,Subscription - Monthly,115193,Revenue Brainstorming,2017-03-10,445
79,Sonny,,China,Photo & Video,Subscription - Daily,105821,App Brainstorming,2017-06-11,0
80,Green,,China,Food & Drink,Subscription - Monthly,154777,Development,2019-07-11,1755
81,Elvin,Thrshld,USA,Food & Drink,Subscription - Monthly,103324,Marketing,2019-11-15,5540
82,Oscar,P,Worldwide,Health & Fitness,Subscription - Yearly,134759,Release,2016-01-22,0
83,Basie,Hphsts,USA,Games,Subscription - Daily,117520,Release,2017-06-24,57160
84,Parker,,Worldwide,Games,In-App Ads,226400,Development,2019-01-14,3465
85,Smith,Drk Mttr,Worldwide,Social Networking,Subscription - Yearly,153914,Soft Release,2019-05-09,14190
86,Benny,,Worldwide,Games,Subscription - Yearly,165151,Development,2017-02-15,20160
87,Dinah,,Worldwide,Food & Drink,Paid App,125922,App Brainstorming,2019-01-07,0
88,Powell,Qntl Qtzl,Worldwide,Health & Fitness,Subscription - Weekly,135630,Release,2019-09-10,22720
89,Billie,,Europe,Shopping,Paid App,98276,Development,2016-07-29,2595
90,Clifford,Rd Pll,Europe,Social Networking,In-App Ads with Paid Ability to Remove Ads,155168,Release,2018-06-10,26368
91,Coleman,,USA,Shopping,Subscription - Daily,65034,Wireframing,2018-05-11,3258
92,Pepper,Vmn,USA,Shopping,Paid App,123788,Marketing,2016-08-23,24900
93,Vaughan,Oscr,Worldwide,Food & Drink,In-App Ads with Paid Ability to Remove Ads,160431,Bug fixing,2019-08-15,9415
94,Evans,Lvlck,Europe,Health & Fitness,In-App Ads with Paid Ability to Remove Ads,129551,Marketing,2019-12-31,21700
95,Tipton,,USA,Photo & Video,In-App Ads with Paid Ability to Remove Ads,146531,Wireframing,2018-04-30,1260
96,Bebo,Mrcry,Worldwide,Social Networking,Paid App,173468,Soft Release,2019-02-25,0
97,Betty,Hds,Worldwide,Shopping,In-App Ads with Paid Ability to Remove Ads,182979,Bug fixing,2018-02-16,0
98,Cupcake,Thndrbrd,Europe,Health & Fitness,Paid App,101776,Marketing,2015-04-27,2190
99,Donut,Zt,Worldwide,Health & Fitness,In-App Ads,174751,Release,2019-12-12,56440
100,Eclair,Tskym,Worldwide,Social Networking,Paid App,175134,Release,2017-09-26,11744
101,FroYo,,Worldwide,Social Networking,Subscription - Monthly,174224,Revenue Brainstorming,2018-10-28,0
102,Gingerbread,,Worldwide,Business,Paid App,151121,Revenue Brainstorming,2017-07-21,1580
103,Ice Cream Sandwich,,USA,Shopping,Subscription - Monthly,125059,App Brainstorming,2017-07-16,0
104,Jelly Bean,,Europe,Business,In-App Ads,120065,Wireframing,2019-11-20,11300
105,KitKat,Chlls,USA,Games,In-App Ads,200308,Release,2019-05-25,0
106,Lollipop,Hypns,China,Business,In-App Ads with Paid Ability to Remove Ads,199339,Soft Release,2017-05-28,16272
107,Marshmallow,Mds,Worldwide,Health & Fitness,Paid App,151728,Bug fixing,2017-07-28,47740
108,Nougat,Svrn,Worldwide,Health & Fitness,Subscription - Yearly,125216,Soft Release,2019-11-28,7302
109,Oreo,Hk,USA,Business,Subscription - Daily,60489,Bug fixing,2018-01-08,0
110,Pie,,USA,Food & Drink,Subscription - Weekly,100073,Revenue Brainstorming,2018-06-07,3132
111,Fast Eddy,Nbs,Europe,Games,Paid App,144975,Bug fixing,2019-08-06,0
112,Tiger Mountain,,Worldwide,Social Networking,Subscription - Yearly,160055,Revenue Brainstorming,2016-01-16,2247
113,Big Electric Cat,Trr,Worldwide,Games,Subscription - Daily,131330,Soft Release,2019-10-19,7500
114,Strange Cargo,,Worldwide,Photo & Video,Subscription - Daily,84712,Testing,2019-04-26,2936
115,Venus in Furs,,Worldwide,Games,Subscription - Yearly,174067,Testing,2019-09-23,5148
116,Liquid Sky,,Worldwide,Health & Fitness,Subscription - Yearly,143960,Testing,2019-06-26,4992
117,Dark Matter,Iss,Worldwide,Photo & Video,In-App Ads,198333,Release,2017-09-05,20592
118,Space Monkey,Lk,Europe,Social Networking,In-App Ads with Paid Ability to Remove Ads,155376,Soft Release,2016-11-07,3438
119,Red Pill,Lghln,Worldwide,Business,In-App Ads,174561,Bug fixing,2017-05-05,3332
120,Stonehenge,,Worldwide,Games,In-App Ads,220794,Development,2018-04-07,0
121,White Rabbit,Okng,USA,Shopping,Subscription - Weekly,95134,Marketing,2017-04-13,23980
122,Superstition,Dr Prk,Europe,Photo & Video,In-App Ads,140451,Release,2018-05-04,0
123,Lucky 7,Hdlbrg,Europe,Health & Fitness,Subscription - Weekly,74580,Soft Release,2015-02-18,3912
124,Single Malt Whiskey Cat,Bnny,Worldwide,Business,Paid App,148823,Soft Release,2016-02-12,16452
125,Dedicated to Thomas and John Knoll,Chrns,Worldwide,Food & Drink,In-App Ads with Paid Ability to Remove Ads,144854,Soft Release,2016-09-29,5010
126,Haiku,Tttnng,Worldwide,Social Networking,In-App Ads with Paid Ability to Remove Ads,205123,Soft Release,2018-03-30,13620
127,Big Rig,Trsty Thr,USA,Social Networking,Subscription - Weekly,120343,Bug fixing,2018-07-20,35224
128,White Lion,,Worldwide,Social Networking,In-App Ads,198448,Wireframing,2017-04-14,2012
129,B Winston,,Worldwide,Shopping,Subscription - Yearly,123765,Revenue Brainstorming,2019-06-19,536
130,Yarrow,Zd,Europe,Social Networking,Subscription - Weekly,104604,Bug fixing,2017-02-25,9807
131,Tettnang,,Worldwide,Food & Drink,In-App Ads,162354,App Brainstorming,2016-04-12,0
132,Heidelberg,Bkr,Worldwide,Shopping,Paid App,151163,Release,2017-10-23,0
133,Stentz,Cbrkn,Worldwide,Food & Drink,In-App Ads,134867,Bug fixing,2019-02-04,6678
134,Bordeaux,Bzz,Worldwide,Social Networking,Subscription - Weekly,145882,Marketing,2018-11-13,16600
135,Zod,Chlls,China,Food & Drink,Subscription - Weekly,139683,Soft Release,2016-05-25,0
136,Moonshine,Lvlck,Worldwide,Food & Drink,Subscription - Yearly,93489,Release,2015-09-10,15312
137,Werewolf,Dnt,Europe,Business,Subscription - Daily,22434,Release,2017-11-25,4368
138,Sulphur,Hmdllr,USA,Shopping,Subscription - Monthly,126871,Bug fixing,2017-10-05,17584
139,Cambridge,Sn,Worldwide,Health & Fitness,Paid App,150700,Marketing,2017-04-16,3260
140,Leonidas,,Worldwide,Health & Fitness,Paid App,147861,Development,2019-02-06,9135
141,Constantine,,Europe,Health & Fitness,Subscription - Yearly,71778,Development,2017-05-27,4020
142,Goddard,,USA,Health & Fitness,Subscription - Daily,40258,Testing,2016-12-21,10840
143,Laughlin,,Worldwide,Photo & Video,In-App Ads,182558,Testing,2015-08-12,4880
144,Lovelock,Crbrs,Europe,Games,Subscription - Monthly,146800,Release,2016-05-25,8736
145,Verne,,Worldwide,Social Networking,In-App Ads,197883,Revenue Brainstorming,2019-07-31,0
146,Beefy Miracle,,Europe,Business,Subscription - Monthly,100000,Testing,2019-01-03,0
147,Spherical Cow,Onrc Oclt,Worldwide,Business,Paid App,148764,Release,2015-11-26,7424
148,Schrödinger’s Cat,,USA,Food & Drink,In-App Ads with Paid Ability to Remove Ads,152540,App Brainstorming,2016-08-22,0
149,Heisenbug,,USA,Shopping,Subscription - Weekly,95526,Development,2017-02-17,8760
150,Twenty One,,Worldwide,Shopping,Paid App,150836,Revenue Brainstorming,2018-06-28,200
151,Mother’s Day,,Europe,Shopping,Paid App,100467,Testing,2019-07-11,9880
152,Picasso,,Europe,Shopping,Subscription - Monthly,99151,Testing,2017-10-03,1528
153,Colgate,Hrdy Hrn,USA,Health & Fitness,In-App Ads,154655,Bug fixing,2017-09-23,4452
154,Vanderbilt,,USA,Games,In-App Ads with Paid Ability to Remove Ads,211338,Wireframing,2019-06-21,2464
155,Biltmore,Hrms,USA,Photo & Video,Subscription - Weekly,105419,Bug fixing,2017-03-30,13230
156,Thunderbird,,Worldwide,Games,In-App Ads,228703,Development,2018-07-28,8685
157,Mustang,,Worldwide,Food & Drink,Subscription - Yearly,106830,Development,2019-12-28,6708
158,Hurricane,Hsnbg,Worldwide,Shopping,Paid App,150118,Marketing,2019-05-26,6885
159,Manhattan,,Worldwide,Photo & Video,In-App Ads with Paid Ability to Remove Ads,215333,Development,2017-04-21,10980
160,Apollo,,USA,Shopping,Subscription - Daily,34642,Development,2019-07-26,4770
161,Starbuck,,Worldwide,Food & Drink,Paid App,117509,Wireframing,2018-01-28,0
162,Hedwig,,Europe,Games,In-App Ads with Paid Ability to Remove Ads,180092,Revenue Brainstorming,2017-04-19,3336
163,Cartman,Snw Lprd,Worldwide,Games,Subscription - Yearly,179439,Soft Release,2015-10-14,7800
164,Piglet,Mrln,USA,Games,Subscription - Yearly,142198,Bug fixing,2019-01-25,0
165,Zoot,,Worldwide,Games,Subscription - Weekly,178110,App Brainstorming,2015-10-07,0
166,Guinnes,Hr,China,Social Networking,Subscription - Weekly,174924,Release,2018-06-22,17840
167,Seawolf,Chlls,Worldwide,Food & Drink,In-App Ads,167130,Bug fixing,2018-05-16,27370
168,Enigma,Pwll,Europe,Food & Drink,In-App Ads with Paid Ability to Remove Ads,94113,Marketing,2018-03-14,0
169,Valhalla,,Europe,Photo & Video,In-App Ads,140187,App Brainstorming,2019-11-19,0
170,Psyche,Vlhll,Europe,Games,Subscription - Weekly,123705,Soft Release,2018-04-03,27450
171,Shrike,,Worldwide,Food & Drink,Subscription - Daily,4543,Testing,2017-04-24,14640
172,Severn,,Worldwide,Food & Drink,Subscription - Yearly,106120,Revenue Brainstorming,2017-11-01,2688
173,Buzz,Mnhttn,USA,Food & Drink,In-App Ads with Paid Ability to Remove Ads,140663,Marketing,2019-01-17,6620
174,Rex,,Worldwide,Photo & Video,In-App Ads,206307,Development,2018-06-21,15408
175,Bo,Lnny,Worldwide,Social Networking,Paid App,171885,Release,2017-04-25,34872
176,Hamm,Hr,Worldwide,Shopping,Subscription - Monthly,151646,Soft Release,2015-07-22,3840
177,Slink,,Worldwide,Social Networking,Subscription - Daily,96902,Development,2019-01-22,7662
178,Potato,,Worldwide,Business,Subscription - Yearly,122762,App Brainstorming,2016-08-14,0
179,Woody,Pwll,Worldwide,Food & Drink,In-App Ads,148569,Bug fixing,2019-02-24,8540
180,Sarge,,Europe,Social Networking,Subscription - Yearly,93030,Wireframing,2016-04-14,0
181,Etch,,Worldwide,Business,Subscription - Weekly,123598,Development,2019-04-21,5598
182,Lenny,Nw,Worldwide,Food & Drink,Paid App,123676,Soft Release,2019-12-11,14424
183,Squeeze,Shrk,Worldwide,Photo & Video,Paid App,159109,Soft Release,2019-09-20,12780
184,Wheezy,,Worldwide,Health & Fitness,In-App Ads with Paid Ability to Remove Ads,182201,App Brainstorming,2018-01-25,0
185,Jessie,Frtssm,USA,Social Networking,Subscription - Monthly,137507,Release,2018-09-25,6160
186,Stretch,,USA,Games,In-App Ads with Paid Ability to Remove Ads,210333,Revenue Brainstorming,2018-07-04,0
187,Sun,St,China,Photo & Video,In-App Ads with Paid Ability to Remove Ads,242377,Soft Release,2018-07-04,5208
188,Mercury,Rd Pll,USA,Games,Subscription - Yearly,148674,Bug fixing,2018-04-07,36575
189,Venus,Clffrd,Europe,Food & Drink,Paid App,85873,Soft Release,2016-09-30,14094
190,Earth,Thndrbrd,Worldwide,Social Networking,In-App Ads with Paid Ability to Remove Ads,204313,Release,2016-06-10,7864
191,Mars,Brd Of Bstr,Europe,Games,In-App Ads with Paid Ability to Remove Ads,182596,Bug fixing,2018-04-12,5460
192,Jupiter,Spc Mnky,Worldwide,Social Networking,Subscription - Yearly,142562,Release,2018-03-27,26880
193,Saturn,,Worldwide,Health & Fitness,Subscription - Monthly,146023,App Brainstorming,2019-09-28,0
194,Uranus,,Worldwide,Food & Drink,In-App Ads with Paid Ability to Remove Ads,145210,Development,2015-06-11,1917
195,Neptune,,Worldwide,Food & Drink,Subscription - Yearly,96217,Revenue Brainstorming,2018-02-23,1776
196,Zeus,Ptt,Worldwide,Business,Subscription - Daily,85170,Release,2019-08-19,720
197,Hera,,Worldwide,Health & Fitness,In-App Ads,174700,Wireframing,2016-07-10,4464
198,Poseidon,Dj,USA,Photo & Video,In-App Ads,178333,Marketing,2019-03-30,4010
199,Demeter,,Worldwide,Food & Drink,Subscription - Yearly,100781,App Brainstorming,2015-07-28,0
200,Ares,Zd,Worldwide,Games,In-App Ads with Paid Ability to Remove Ads,224573,Soft Release,2018-09-26,5268
201,Athena,Cmztz,China,Games,Subscription - Weekly,200091,Release,2016-11-14,2472
202,Apollo,,Worldwide,Health & Fitness,Subscription - Yearly,117944,Wireframing,2018-08-26,436
203,Artemis,Gnns,Worldwide,Games,In-App Ads,220758,Bug fixing,2016-04-28,15855
204,Hephaestus,Hy,Europe,Games,Subscription - Weekly,126476,Soft Release,2019-07-05,9960
205,Aphrodite,,Worldwide,Food & Drink,Subscription - Weekly,95853,Revenue Brainstorming,2019-04-28,2216
206,Hermes,,USA,Photo & Video,Subscription - Monthly,156099,Development,2016-11-19,171
207,Dionysus,,Worldwide,Health & Fitness,Subscription - Daily,62377,Revenue Brainstorming,2018-10-21,0
208,Hades,Vvd Vrvt,Europe,Health & Fitness,Subscription - Daily,30720,Bug fixing,2019-07-15,11585
209,Hypnos,,Worldwide,Social Networking,Subscription - Monthly,167907,Wireframing,2019-05-20,1992
210,Nike,Drk Mttr,Worldwide,Health & Fitness,Paid App,155855,Bug fixing,2018-11-19,5089
211,Janus,,USA,Health & Fitness,Subscription - Daily,46515,Development,2018-12-31,2172
212,Nemesis,Onrc Oclt,USA,Games,Subscription - Weekly,157090,Marketing,2016-02-26,8170
213,Iris,Jgr,Worldwide,Business,Paid App,149062,Soft Release,2016-04-03,516
214,Hecate,Rnhrdt,USA,Business,Subscription - Daily,56357,Marketing,2019-03-02,1690
215,Tyche,,Worldwide,Health & Fitness,Subscription - Weekly,135511,App Brainstorming,2019-10-27,0
216,Achilles,,USA,Business,In-App Ads,147206,Revenue Brainstorming,2019-09-15,1875
217,Agni,,USA,Shopping,Subscription - Daily,43834,Wireframing,2018-05-18,1168
218,AMC,,Worldwide,Shopping,Subscription - Daily,70266,Wireframing,2018-10-07,0
219,AhPuch,Rjn,USA,Photo & Video,In-App Ads,202873,Marketing,2015-10-25,20700
220,Amaterasu,Hmdllr,Worldwide,Food & Drink,In-App Ads with Paid Ability to Remove Ads,158837,Bug fixing,2017-05-10,8022
221,Anhur,,Worldwide,Games,Subscription - Daily,113035,Testing,2017-02-27,3900
222,Anubis,Nzh,Worldwide,Food & Drink,In-App Ads,141217,Marketing,2019-07-12,11380
223,AoKuang,,USA,Photo & Video,Subscription - Daily,158171,Testing,2015-06-15,0
224,Arachne,Nbs,USA,Food & Drink,In-App Ads,124539,Bug fixing,2017-11-22,23548
225,Artio,,Worldwide,Social Networking,Subscription - Monthly,175333,Testing,2017-05-20,8072
226,Awilix,,USA,Business,Subscription - Monthly,135533,Development,2018-10-30,13965
227,BabaYaga,Dnyss,Worldwide,Games,Subscription - Daily,116923,Release,2016-03-11,776
228,Bacchus,Sqz,Worldwide,Games,In-App Ads,224149,Release,2016-04-26,3560
229,Bakasura,Olrn,Europe,Games,Subscription - Daily,53697,Marketing,2018-03-15,19100
230,BaronSamedi,,Worldwide,Games,In-App Ads with Paid Ability to Remove Ads,227960,Revenue Brainstorming,2018-11-09,1326
231,Bastet,,Europe,Photo & Video,Paid App,130826,Testing,2018-03-20,18500
232,Bellona,Hrms,Worldwide,Photo & Video,In-App Ads,188128,Soft Release,2018-03-14,2664
233,Cabrakan,Clmn,USA,Health & Fitness,Subscription - Daily,34296,Marketing,2016-07-21,205
234,Camazotz,,Worldwide,Shopping,Subscription - Daily,81105,Development,2019-07-23,7845
235,Cerberus,Ymj,Worldwide,Business,In-App Ads with Paid Ability to Remove Ads,179608,Soft Release,2019-10-24,7542
236,Cernunnos,,Worldwide,Health & Fitness,Subscription - Daily,69868,Wireframing,2016-07-18,1302
237,Chaac,Gn,Worldwide,Food & Drink,In-App Ads,155991,Marketing,2017-02-10,0
238,ChangE,,China,Photo & Video,In-App Ads,227550,Revenue Brainstorming,2019-01-13,1965
239,Chernobog,Ddctd T Thms Nd Jhn Knll,Worldwide,Shopping,Subscription - Monthly,150298,Release,2016-01-13,1176
240,Chiron,Elvn,Worldwide,Social Networking,In-App Ads,199034,Marketing,2016-01-12,405
241,Chronos,Svrn,Europe,Health & Fitness,Subscription - Yearly,73382,Soft Release,2017-07-29,1728
242,CuChulainn,Crmn,Europe,Social Networking,Subscription - Daily,57541,Release,2017-05-10,25800
243,Cupid,,Europe,Food & Drink,Paid App,81653,Revenue Brainstorming,2019-03-09,1724
244,DaJi,Vlhll,USA,Shopping,Subscription - Weekly,104288,Marketing,2017-04-14,385
245,Discordia,Tych,Europe,Food & Drink,Subscription - Daily,-33512,Release,2018-04-06,5440
246,ErLangShen,Phnx,Europe,Business,Paid App,100000,Marketing,2015-08-26,0
247,Fafnir,,Europe,Games,Subscription - Daily,52943,Development,2019-06-05,13572
248,Fenrir,Thnts,USA,Business,In-App Ads with Paid Ability to Remove Ads,156366,Release,2018-04-02,11240
249,Freya,,USA,Games,Subscription - Daily,135162,Wireframing,2018-06-08,3168
250,Ganesha,Hds,USA,Health & Fitness,Subscription - Daily,48319,Bug fixing,2016-04-24,20272
251,Geb,Bltmr,USA,Business,In-App Ads,153489,Bug fixing,2018-02-10,31052
252,GuanYu,,Worldwide,Photo & Video,In-App Ads,195072,App Brainstorming,2019-03-31,0
253,Hachiman,Stnhng,Worldwide,Health & Fitness,Subscription - Monthly,158059,Bug fixing,2019-08-28,24654
254,HeBo,Dk,China,Games,In-App Ads with Paid Ability to Remove Ads,255199,Bug fixing,2015-01-27,1890
255,Heimdallr,,USA,Games,In-App Ads,188684,Testing,2018-04-18,27560
256,Hel,B,Europe,Health & Fitness,Subscription - Weekly,71864,Bug fixing,2015-05-12,29022
257,Hercules,,Worldwide,Photo & Video,Subscription - Yearly,122777,Development,2015-12-03,0
258,Horus,,USA,Photo & Video,Paid App,182827,Testing,2019-04-06,13500
259,HouYi,,USA,Health & Fitness,In-App Ads,156199,Wireframing,2016-12-22,1536
260,HunBatz,,Europe,Health & Fitness,Subscription - Weekly,79840,Revenue Brainstorming,2016-12-01,0
261,Isis,,Europe,Social Networking,In-App Ads with Paid Ability to Remove Ads,155320,Development,2019-06-17,6741
262,Izanami,,Worldwide,Social Networking,In-App Ads,197326,Development,2015-07-18,9210
263,JingWei,Dj,Europe,Health & Fitness,Subscription - Weekly,77939,Release,2016-01-16,0
264,Jormungandr,,Worldwide,Shopping,In-App Ads,169138,App Brainstorming,2017-07-06,0
265,Kali,Irs,Europe,Social Networking,Subscription - Daily,61407,Release,2019-11-10,2136
266,Khepri,,Worldwide,Photo & Video,Paid App,182306,Wireframing,2015-08-30,2850
267,KingArthur,,Worldwide,Health & Fitness,Subscription - Monthly,145710,App Brainstorming,2018-01-29,0
268,Kukulkan,Wrwlf,Worldwide,Shopping,Subscription - Yearly,125234,Soft Release,2016-07-11,9408
269,Kumbhakarna,,USA,Business,In-App Ads,151020,Development,2015-12-02,6486
270,Kuzenbo,Ln,USA,Food & Drink,In-App Ads with Paid Ability to Remove Ads,121952,Bug fixing,2019-07-11,22176
271,Loki,,USA,Business,In-App Ads with Paid Ability to Remove Ads,151545,App Brainstorming,2017-10-30,0
272,Medusa,,Europe,Business,Paid App,100000,App Brainstorming,2017-08-23,0
273,Merlin,,USA,Health & Fitness,Subscription - Monthly,126774,Revenue Brainstorming,2017-05-13,6210
274,Mulan,,USA,Food & Drink,Subscription - Monthly,75429,Wireframing,2018-03-24,10780
275,NeZha,Nw,Worldwide,Business,Paid App,149531,Bug fixing,2018-05-06,2674
276,Neith,,USA,Shopping,In-App Ads,150000,App Brainstorming,2016-05-01,0
277,Nox,Okng,Worldwide,Business,In-App Ads,173287,Marketing,2016-10-26,0
